channel_cd,interval_ts_local,meter_id,voltage_lvt,amps_lct,power_factor_pf,number_of_phases,year,month,day,hour,minute,second,week,dayofweek
a,2021-04-01 00:00:00+11:00,396.0,240.29999999999998,0.638608,-0.31766666666666665,1.0,2021.0,4.0,1.0,0.0,12.5,0.0,13.0,3.0
a,2021-04-01 00:30:00+11:00,396.0,241.00666666666666,0.4466451666666667,-0.45083333333333336,1.0,2021.0,4.0,1.0,0.0,42.5,0.0,13.0,3.0
a,2021-04-01 01:00:00+11:00,396.0,241.64666666666668,0.47052916666666667,-0.7788333333333334,1.0,2021.0,4.0,1.0,1.0,12.5,0.0,13.0,3.0
a,2021-04-01 01:30:00+11:00,396.0,240.74166666666667,0.4178001666666667,-0.7046666666666667,1.0,2021.0,4.0,1.0,1.0,42.5,0.0,13.0,3.0
a,2021-04-01 02:00:00+11:00,396.0,241.16166666666666,0.4478796666666667,-0.7535,1.0,2021.0,4.0,1.0,2.0,12.5,0.0,13.0,3.0
a,2021-04-01 02:30:00+11:00,396.0,241.56333333333336,0.43470666666666663,-0.754,1.0,2021.0,4.0,1.0,2.0,42.5,0.0,13.0,3.0
a,2021-04-01 03:00:00+11:00,396.0,242.06499999999997,0.4161265,-0.6795,1.0,2021.0,4.0,1.0,3.0,12.5,0.0,13.0,3.0
a,2021-04-01 03:30:00+11:00,396.0,241.89,0.433777,-0.751,1.0,2021.0,4.0,1.0,3.0,42.5,0.0,13.0,3.0
a,2021-04-01 04:00:00+11:00,396.0,240.3983333333333,0.40501666666666664,-0.6905,1.0,2021.0,4.0,1.0,4.0,12.5,0.0,13.0,3.0
a,2021-04-01 04:30:00+11:00,396.0,240.28166666666667,0.438397,-0.7345,1.0,2021.0,4.0,1.0,4.0,42.5,0.0,13.0,3.0
a,2021-04-01 05:00:00+11:00,396.0,239.915,0.49867900000000004,-0.8409999999999999,1.0,2021.0,4.0,1.0,5.0,12.5,0.0,13.0,3.0
a,2021-04-01 05:30:00+11:00,396.0,243.64833333333334,0.422263,-0.7040000000000001,1.0,2021.0,4.0,1.0,5.0,42.5,0.0,13.0,3.0
a,2021-04-01 06:00:00+11:00,396.0,241.46833333333333,0.44448899999999997,-0.7721666666666667,1.0,2021.0,4.0,1.0,6.0,12.5,0.0,13.0,3.0
a,2021-04-01 06:30:00+11:00,396.0,241.84333333333333,0.3687181666666666,-0.6246666666666667,1.0,2021.0,4.0,1.0,6.0,42.5,0.0,13.0,3.0
a,2021-04-01 07:00:00+11:00,396.0,241.28166666666667,0.4092466666666667,-0.6998333333333333,1.0,2021.0,4.0,1.0,7.0,12.5,0.0,13.0,3.0
a,2021-04-01 07:30:00+11:00,396.0,239.08833333333334,0.4910063333333334,-0.8393333333333333,1.0,2021.0,4.0,1.0,7.0,42.5,0.0,13.0,3.0
a,2021-04-01 08:00:00+11:00,396.0,238.67,3.14277,0.8366666666666666,1.0,2021.0,4.0,1.0,8.0,12.5,0.0,13.0,3.0
a,2021-04-01 08:30:00+11:00,396.0,240.51999999999998,1.1418356666666667,-0.3793333333333333,1.0,2021.0,4.0,1.0,8.0,42.5,0.0,13.0,3.0
a,2021-04-01 09:00:00+11:00,396.0,244.045,0.4456615,-0.8346666666666667,1.0,2021.0,4.0,1.0,9.0,12.5,0.0,13.0,3.0
a,2021-04-01 09:30:00+11:00,396.0,247.835,0.39576750000000005,-0.7463333333333333,1.0,2021.0,4.0,1.0,9.0,42.5,0.0,13.0,3.0
a,2021-04-01 10:00:00+11:00,396.0,249.75166666666667,0.4017638333333333,-0.7268333333333333,1.0,2021.0,4.0,1.0,10.0,12.5,0.0,13.0,3.0
a,2021-04-01 10:30:00+11:00,396.0,249.61166666666668,0.5329688333333333,-0.9831666666666666,1.0,2021.0,4.0,1.0,10.0,42.5,0.0,13.0,3.0
a,2021-04-01 11:00:00+11:00,396.0,250.15833333333333,0.385818,-0.7241666666666666,1.0,2021.0,4.0,1.0,11.0,12.5,0.0,13.0,3.0
a,2021-04-01 11:30:00+11:00,396.0,251.10166666666666,0.43828500000000004,-0.8271666666666667,1.0,2021.0,4.0,1.0,11.0,42.5,0.0,13.0,3.0
a,2021-04-01 12:00:00+11:00,396.0,250.65333333333334,0.4674483333333333,-0.8498333333333333,1.0,2021.0,4.0,1.0,12.0,12.5,0.0,13.0,3.0
a,2021-04-01 12:30:00+11:00,396.0,250.905,0.5265191666666666,-0.941,1.0,2021.0,4.0,1.0,12.0,42.5,0.0,13.0,3.0
a,2021-04-01 13:00:00+11:00,396.0,247.97333333333333,0.5214458333333333,-0.7254999999999999,1.0,2021.0,4.0,1.0,13.0,12.5,0.0,13.0,3.0
a,2021-04-01 13:30:00+11:00,396.0,248.61666666666667,1.1959076666666666,-0.9508333333333333,1.0,2021.0,4.0,1.0,13.0,42.5,0.0,13.0,3.0
a,2021-04-01 14:00:00+11:00,396.0,254.53333333333333,0.6696814999999999,-0.992,1.0,2021.0,4.0,1.0,14.0,12.5,0.0,13.0,3.0
a,2021-04-01 14:30:00+11:00,396.0,254.155,0.6234195,-0.991,1.0,2021.0,4.0,1.0,14.0,42.5,0.0,13.0,3.0
a,2021-04-01 15:00:00+11:00,396.0,248.67,0.5983676666666667,-0.9881666666666667,1.0,2021.0,4.0,1.0,15.0,12.5,0.0,13.0,3.0
a,2021-04-01 15:30:00+11:00,396.0,244.62,0.5759161666666667,-0.9856666666666666,1.0,2021.0,4.0,1.0,15.0,42.5,0.0,13.0,3.0
a,2021-04-01 16:00:00+11:00,396.0,243.06499999999997,0.6265756666666666,-0.9886666666666667,1.0,2021.0,4.0,1.0,16.0,12.5,0.0,13.0,3.0
